"lang_cd","race_cd","count","lang_count","pct"
"POL","HISP",310,23868,1.3
"POL","WHT",22524,23868,94.37
"PON","API",88,94,93.62
"PON","HISP",6,94,6.38
"POR","AIAN",8423,79427,10.6
"POR","API",1345,79427,1.69
"POR","BLCK",3470,79427,4.37
"POR","HISP",4599,79427,5.79
"POR","UNK",43238,79427,54.44
"POR","WHT",18352,79427,23.11
"PRO","API",4,52,7.69
"PRO","BLCK",2,52,3.85
"PRO","HISP",24,52,46.15
"PRO","WHT",22,52,42.31
"PUS","AIAN",35,1974,1.77
"PUS","API",545,1974,27.61
"PUS","BLCK",32,1974,1.62
"PUS","HISP",69,1974,3.5
"PUS","UNK",799,1974,40.48
"PUS","WHT",494,1974,25.03
"QUE","AIAN",27,27,100
"RAJ","API",1,2,50
"RAJ","WHT",1,2,50
"ROH","BLCK",1,2,50
"ROH","WHT",1,2,50
"ROM","AIAN",4,147,2.72
"ROM","API",1,147,0.68
"ROM","BLCK",6,147,4.08
"ROM","HISP",7,147,4.76
"ROM","WHT",129,147,87.76
"RUM","AIAN",777,4199,18.5
"RUM","API",30,4199,0.71
"RUM","BLCK",17,4199,0.4
"RUM","HISP",143,4199,3.41
"RUM","WHT",3232,4199,76.97
"RUN","AIAN",5,1820,0.27
"RUN","API",11,1820,0.6
"RUN","BLCK",1799,1820,98.85
"RUN","HISP",3,1820,0.16
"RUN","WHT",2,1820,0.11
"RUS","AIAN",966,297931,0.32
"RUS","API",15905,297931,5.34
"RUS","BLCK",1315,297931,0.44
"RUS","HISP",5624,297931,1.89
"RUS","WHT",274121,297931,92.01
"SAG","AIAN",2,30,6.67
"SAG","BLCK",28,30,93.33
"SAL","AIAN",3,3,100
"SAM","AIAN",5,105,4.76
"SAM","API",2,105,1.9
"SAM","BLCK",94,105,89.52
"SAM","UNK",4,105,3.81
"SAN","AIAN",1,51,1.96
"SAN","API",9,51,17.65
"SAN","BLCK",26,51,50.98
"SAN","HISP",14,51,27.45
"SAN","WHT",1,51,1.96
"SCO","AIAN",1,1,100
"SEL","AIAN",2,2,100
"SGN","AIAN",289,9694,2.98
"SGN","API",824,9694,8.5
"SGN","BLCK",1258,9694,12.98
"SGN","HISP",915,9694,9.44
"SGN","UNK",1200,9694,12.38
"SGN","WHT",5208,9694,53.72
"SHN","HISP",1,1,100
"SID","BLCK",3,26,11.54
"SID","HISP",1,26,3.85
"SID","UNK",22,26,84.62
"SIN","AIAN",6,42,14.29
"SIN","API",22,42,52.38
"SIN","BLCK",4,42,9.52
"SIN","HISP",4,42,9.52
"SIN","WHT",6,42,14.29
"SIO","AIAN",65,65,100
"SIT","AIAN",2,355,0.56
"SIT","API",333,355,93.8
"SIT","BLCK",2,355,0.56
"SIT","HISP",2,355,0.56
"SIT","WHT",16,355,4.51
"SLA","AIAN",11,2591,0.42
"SLA","API",18,2591,0.69
"SLA","BLCK",46,2591,1.78
"SLA","HISP",4,2591,0.15
"SLA","WHT",2512,2591,96.95
"SLO","AIAN",44,298,14.77
"SLO","API",3,298,1.01
"SLO","BLCK",5,298,1.68
"SLO","HISP",3,298,1.01
"SLO","WHT",243,298,81.54
"SLV","AIAN",1,42,2.38
"SLV","BLCK",6,42,14.29
"SLV","HISP",5,42,11.9
"SLV","WHT",30,42,71.43
"SME","BLCK",1,1,100
"SMI","BLCK",4,4,100
"SMO","AIAN",24,6714,0.36
"SMO","API",5231,6714,77.91
"SMO","BLCK",107,6714,1.59
"SMO","HISP",1070,6714,15.94
"SMO","WHT",282,6714,4.2
"SNA","API",1,5,20
"SNA","BLCK",1,5,20
"SNA","HISP",2,5,40
"SNA","WHT",1,5,20
"SND","API",1,2,50
"SND","WHT",1,2,50
"SNK","BLCK",8,8,100
"SOM","AIAN",995,132144,0.75
"SOM","API",439,132144,0.33
"SOM","BLCK",128731,132144,97.42
"SOM","HISP",1391,132144,1.05
"SOM","WHT",588,132144,0.44
"SPA","HISP",24342067,24342067,100
"SRP","AIAN",17,1164,1.46
"SRP","API",16,1164,1.37
"SRP","BLCK",22,1164,1.89
"SRP","HISP",65,1164,5.58
"SRP","WHT",1044,1164,89.69
"SSA","API",2,168,1.19
"SSA","BLCK",162,168,96.43
"SSA","HISP",4,168,2.38
"SSW","HISP",1,1,100
"SUN","API",73,264,27.65
"SUN","BLCK",179,264,67.8
"SUN","HISP",9,264,3.41
"SUN","WHT",3,264,1.14
"SWA","AIAN",47,10483,0.45
"SWA","API",70,10483,0.67
"SWA","BLCK",10090,10483,96.25
"SWA","HISP",177,10483,1.69
"SWA","WHT",99,10483,0.94
"SWE","AIAN",9,242,3.72
"SWE","API",7,242,2.89
"SWE","BLCK",3,242,1.24
"SWE","HISP",29,242,11.98
"SWE","WHT",194,242,80.17
"SYR","AIAN",12,115,10.43
"SYR","API",36,115,31.3
"SYR","UNK",10,115,8.7
"SYR","WHT",57,115,49.57
"TAH","API",6,7,85.71
"TAH","BLCK",1,7,14.29
"TAI","API",19,30,63.33
"TAI","BLCK",1,30,3.33
"TAI","HISP",3,30,10
"TAI","WHT",7,30,23.33
"TAM","AIAN",81,726,11.16
"TAM","API",631,726,86.91
"TAM","BLCK",2,726,0.28
"TAM","HISP",4,726,0.55
"TAM","WHT",8,726,1.1
"TEL","AIAN",74,780,9.49
"TEL","API",680,780,87.18
"TEL","BLCK",4,780,0.51
"TEL","WHT",22,780,2.82
"TER","BLCK",1,1,100
"TGK","API",1,15,6.67
"TGK","WHT",14,15,93.33
"TGL","AIAN",387,128934,0.3
"TGL","API",124677,128934,96.7
"TGL","BLCK",193,128934,0.15
"TGL","HISP",2743,128934,2.13
"TGL","WHT",934,128934,0.72
"THA","AIAN",72,8678,0.83
"THA","API",8198,8678,94.47
"THA","BLCK",20,8678,0.23
"THA","HISP",166,8678,1.91
"THA","WHT",222,8678,2.56
"TIB","AIAN",4,369,1.08
"TIB","API",271,369,73.44
"TIB","BLCK",4,369,1.08
"TIB","WHT",90,369,24.39
"TIG","API",10,89,11.24
"TIG","BLCK",75,89,84.27
"TIG","HISP",4,89,4.49
"TIR","AIAN",72,5167,1.39
"TIR","API",27,5167,0.52
"TIR","BLCK",4913,5167,95.08
"TIR","HISP",90,5167,1.74
"TIR","WHT",65,5167,1.26
"TKL","BLCK",1,1,100
"TLI","AIAN",2,2,100
"TOG","API",48,53,90.57
"TOG","HISP",5,53,9.43
"TON","AIAN",2,1094,0.18
"TON","API",1056,1094,96.53
"TON","HISP",10,1094,0.91
"TON","WHT",26,1094,2.38
"TSN","BLCK",1,2,50
"TSN","HISP",1,2,50
"TSO","BLCK",4,4,100
"TUK","WHT",7,7,100
"TUR","AIAN",809,5880,13.76
"TUR","API",281,5880,4.78
"TUR","BLCK",97,5880,1.65
"TUR","HISP",50,5880,0.85
"TUR","WHT",4643,5880,78.96
"TWI","AIAN",6,172,3.49
"TWI","API",6,172,3.49
"TWI","BLCK",153,172,88.95
"TWI","HISP",1,172,0.58
"TWI","WHT",6,172,3.49
"UDM","UNK",6,10,60
"UDM","WHT",4,10,40
"UIG","API",4,27,14.81
"UIG","BLCK",1,27,3.7
"UIG","WHT",22,27,81.48
"UKR","AIAN",143,10032,1.43
"UKR","API",51,10032,0.51
"UKR","BLCK",23,10032,0.23
"UKR","HISP",120,10032,1.2
"UKR","WHT",9695,10032,96.64
